timestamp,open,high,low,close,volume
2021-07-05 12:00:00,33421.92,33774.79,33402.29,33604.9,0.158116
2021-07-05 16:00:00,33604.9,34256.24,33187.09,34122.71,0.167577
2021-07-05 20:00:00,34122.71,34193.77,33684.44,33704.41,0.167898
2021-07-06 00:00:00,33704.41,34159.84,33663.88,33919.73,0.169061
2021-07-06 04:00:00,33919.73,34945.71,33919.73,34883.04,0.485204
2021-07-06 08:00:00,34883.04,35098.33,33751.63,34092.15,1.409171
2021-07-06 12:00:00,34092.15,34465.38,33802.55,34048.11,0.644425
2021-07-06 16:00:00,34048.11,34127.58,33578.49,34014.9,0.473002
2021-07-06 20:00:00,34014.9,34276.54,33683.58,34224.45,0.62172
2021-07-07 00:00:00,34224.45,34485.65,33967.55,34439.98,0.234672
2021-07-07 04:00:00,34439.98,34900.36,34381.59,34708.19,0.197448
2021-07-07 08:00:00,34708.19,34972.66,34475.0,34832.06,0.463488
2021-07-07 12:00:00,34832.06,35008.17,34489.7,34533.69,0.62409
2021-07-07 16:00:00,34533.69,34796.33,34437.62,34628.8,0.614522
2021-07-07 20:00:00,34628.8,34628.8,33800.68,33865.3,2.79012
2021-07-08 00:00:00,33865.3,33921.53,33083.06,33320.02,1.156878
2021-07-08 04:00:00,33320.02,33471.03,32300.0,32486.78,3.360095
2021-07-08 08:00:00,32486.78,32727.68,32300.01,32695.91,1.518398
2021-07-08 12:00:00,32695.91,32977.09,32235.82,32910.02,10.315127
2021-07-08 16:00:00,32910.02,33134.73,32653.41,33013.84,1.807317
2021-07-08 20:00:00,33013.84,33037.34,32517.62,32892.17,0.173255
2021-07-09 00:00:00,32892.17,33083.07,32307.11,32940.49,0.180192
2021-07-09 04:00:00,32940.49,33275.79,32770.03,32879.37,0.492922
2021-07-09 08:00:00,32879.37,33057.7,32628.4,32773.07,3.69496
2021-07-09 12:00:00,32773.07,33650.23,32646.36,33556.02,4.07518
2021-07-09 16:00:00,33556.02,33680.38,33313.33,33446.97,0.280537
2021-07-09 20:00:00,33446.97,34077.01,33388.97,33815.88,0.830561
2021-07-10 00:00:00,33815.88,34233.49,33664.69,33786.14,0.511016
2021-07-10 04:00:00,33786.14,33906.89,33488.63,33767.18,0.21319
2021-07-10 08:00:00,33767.18,33905.95,33568.17,33797.49,1.236572
2021-07-10 12:00:00,33797.49,33919.29,33657.51,33883.11,0.355735
2021-07-10 16:00:00,33883.11,34165.15,33267.42,33411.45,1.462725
2021-07-10 20:00:00,33411.45,33686.95,33055.38,33509.32,0.388896
2021-07-11 00:00:00,33509.32,33800.18,33409.43,33452.24,0.433034
2021-07-11 04:00:00,33452.24,33645.59,33326.11,33507.3,0.223239
2021-07-11 08:00:00,33507.3,33842.95,33441.27,33818.9,1.579362
2021-07-11 12:00:00,33818.9,34004.26,33671.86,33949.49,8.667634
2021-07-11 16:00:00,33949.49,34094.9,33812.0,33894.56,0.701058
2021-07-11 20:00:00,33894.56,34586.63,33754.01,34246.51,2.172115
2021-07-12 00:00:00,34246.51,34519.23,34088.0,34454.97,0.183072
2021-07-12 04:00:00,34454.97,34650.0,34176.78,34281.8,0.244489
2021-07-12 08:00:00,34281.8,34470.01,33533.08,33533.08,0.677251
2021-07-12 12:00:00,33533.08,33640.5,33280.44,33346.64,4.067213
2021-07-12 16:00:00,33346.64,33425.36,32796.0,32834.22,6.001843
2021-07-12 20:00:00,32834.22,33266.24,32665.68,33109.63,1.927798
2021-07-13 00:00:00,33109.63,33228.97,32850.0,33076.54,3.217031
2021-07-13 04:00:00,33076.54,33324.49,32746.18,33175.86,2.323985
2021-07-13 08:00:00,33175.86,33317.95,32928.94,33043.36,2.123589
2021-07-13 12:00:00,33043.36,33046.67,32297.48,32789.08,3.184844
2021-07-13 16:00:00,32789.08,32924.15,32268.86,32268.86,1.648175
2021-07-13 20:00:00,32268.86,32729.8,32206.81,32715.61,0.313751
2021-07-14 00:00:00,32715.61,32796.34,31666.0,31841.28,2.037491
2021-07-14 04:00:00,31841.28,32008.26,31691.02,31914.13,2.251804
2021-07-14 08:00:00,31914.13,32660.74,31605.25,32440.07,2.75683
2021-07-14 12:00:00,32440.07,32960.72,32291.42,32786.01,2.658381
2021-07-14 16:00:00,32786.01,33074.3,32589.99,32728.36,1.75323
2021-07-14 20:00:00,32728.36,33028.76,32700.59,32823.9,0.327494
2021-07-15 00:00:00,32823.9,33167.42,32655.24,32658.54,1.602536
