timestamp,open,high,low,close,volume
2021-07-05,35225.48,35239.23,33187.09,33704.41,13.578128
2021-07-06,33704.41,35098.33,33578.49,34224.45,3.802583
2021-07-07,34224.45,35008.17,33800.68,33865.3,4.92434
2021-07-08,33865.3,33921.53,32235.82,32892.17,18.33107
2021-07-09,32892.17,34077.01,32307.11,33815.88,9.554352
2021-07-10,33815.88,34233.49,33055.38,33509.32,4.168134
2021-07-11,33509.32,34586.63,33326.11,34246.51,13.776442
2021-07-12,34246.51,34650.0,32665.68,33109.63,13.101666
2021-07-13,33109.63,33324.49,32206.81,32715.61,12.811375
2021-07-14,32715.61,33074.3,31605.25,32823.9,11.78523
2021-07-15,32823.9,33167.42,31150.0,31861.82,49.931742
2021-07-16,31861.82,32235.05,31042.08,31390.98,49.591002
2021-07-17,31390.98,31970.57,31170.0,31512.99,16.499096
2021-07-18,31512.99,32416.17,31150.0,31778.75,51.190212
2021-07-19,31778.75,31891.94,30469.5,30819.86,45.645321
2021-07-20,30819.86,31050.0,29314.77,29782.8,115.334421
2021-07-21,29782.8,32817.63,29513.9,32137.21,103.9724
2021-07-22,32137.21,32496.63,31728.28,32310.43,49.528767
2021-07-23,32310.43,33631.55,32013.22,33631.55,67.196901
2021-07-24,33631.55,34467.08,33409.59,34270.0,62.298059
2021-07-25,34270.0,35386.12,33864.49,35348.21,87.532324
2021-07-26,35348.21,40564.19,35242.89,37252.28,284.339773
2021-07-27,37252.28,39500.0,36410.5,39500.0,152.052798
2021-07-28,39500.0,40889.15,38800.01,39987.87,181.90394
2021-07-29,39987.87,40612.3,39292.52,40015.2,97.664092
2021-07-30,40015.2,42290.0,38328.58,42195.18,193.017448
2021-07-31,42195.18,42359.76,41040.89,41447.67,97.528106
2021-08-01,41447.67,42566.0,39462.33,39851.08,140.451913
2021-08-02,39851.08,40452.47,38691.0,39144.91,143.550949
2021-08-03,39144.91,39771.94,37661.2,38210.87,120.750935
2021-08-04,38210.87,39955.86,37551.94,39738.46,126.630748
2021-08-05,39738.46,41353.0,37348.85,40864.26,215.362454
2021-08-06,40864.26,43367.66,39900.01,42831.88,158.525493
2021-08-07,42831.88,44705.58,42500.0,44578.65,237.590431
2021-08-08,44578.65,45281.85,43296.16,43807.74,191.475897
2021-08-09,43807.74,46466.92,42820.94,46285.33,240.183492
2021-08-10,46285.33,46750.0,44650.0,45585.67,176.307778
2021-08-11,45585.67,46595.92,45349.31,45543.0,136.428802
2021-08-12,45543.0,46207.82,43790.8,44412.0,170.489342
2021-08-13,44412.0,47865.28,44243.99,47807.6,158.11131
2021-08-14,47807.6,48107.0,46029.73,47037.53,192.779991
2021-08-15,47037.53,47336.25,45507.0,46979.44,139.139401
2021-08-16,46979.44,48016.54,45657.69,45913.29,207.229123
2021-08-17,45913.29,47138.09,44412.0,44676.76,211.227177
2021-08-18,44676.76,45930.0,44218.24,44635.35,227.924747
2021-08-19,44635.35,47001.35,43950.0,46753.83,230.822202
2021-08-20,46753.83,49338.0,46629.54,49301.43,260.425931
2021-08-21,49301.43,49731.15,48171.57,48772.59,132.869856
2021-08-22,48772.59,49506.7,48074.56,49223.35,132.608239
2021-08-23,49223.35,50424.0,49022.0,49519.22,229.063926
2021-08-24,49519.22,49790.14,47525.41,47671.53,215.420646
2021-08-25,47671.53,49245.14,47120.0,48996.42,205.688869
2021-08-26,48996.42,49344.29,46323.43,46822.44,176.035044
2021-08-27,46822.44,49089.0,46338.71,49037.99,179.847809
2021-08-28,49037.99,49257.4,48352.9,48884.84,147.818635
2021-08-29,48884.84,49614.36,47800.0,48756.58,125.332522
2021-08-30,48756.58,48873.18,46864.01,46986.26,177.492634
2021-08-31,46986.26,48200.0,46700.0,47103.33,274.37544
2021-09-01,47103.33,49059.99,46500.0,48783.19,179.998962
2021-09-02,48783.19,50326.95,48558.75,49231.18,292.562294
2021-09-03,49231.18,50987.0,48358.37,49973.87,313.834521
2021-09-04,49973.87,50550.0,49400.0,49919.82,186.580609
2021-09-05,49919.82,51836.71,49485.03,51726.73,231.26447
2021-09-06,51726.73,52662.73,50963.72,52586.77,257.346181
2021-09-07,52586.77,52818.37,43000.0,46729.2,645.126118
2021-09-08,46729.2,47299.87,44436.94,46014.25,407.756328
2021-09-09,46014.25,47338.87,45508.88,46358.44,288.664531
2021-09-10,46358.44,46998.0,44150.0,44830.7,369.397501
2021-09-11,44830.7,45943.71,44727.84,45131.32,289.418999
2021-09-12,45131.32,46377.51,44713.09,45986.0,254.371103
2021-09-13,45986.0,46782.0,43381.99,44910.13,476.493014
2021-09-14,44910.13,47233.76,44590.01,47100.0,340.498618
2021-09-15,47100.0,48444.0,46686.86,48128.25,302.601632
2021-09-16,48128.25,48470.0,47020.51,47729.93,262.464978
2021-09-17,47729.93,48142.22,46750.01,47290.58,227.556339
2021-09-18,47290.58,48773.78,47058.1,48272.38,185.709749
2021-09-19,48272.38,48328.8,46864.83,47252.31,180.834669
2021-09-20,47252.31,47338.82,42523.37,43049.82,531.465973
2021-09-21,43049.82,43600.3,39632.1,40717.22,768.442768
2021-09-22,40717.22,43989.99,40572.28,43514.57,368.823524
2021-09-23,43514.57,44931.18,43043.57,44811.07,294.205773
2021-09-24,44811.07,45100.99,40735.01,42804.98,472.905144
2021-09-25,42804.98,42950.69,41642.65,42665.0,191.811663
2021-09-26,42665.0,43876.81,40767.63,43127.93,324.542433
2021-09-27,43127.93,44285.56,42112.08,42149.18,244.021722
2021-09-28,42149.18,42753.37,40884.38,41028.29,254.164305
2021-09-29,41028.29,42577.27,40769.0,41512.51,301.226587
2021-09-30,41512.51,44067.0,41402.52,43801.54,335.265109
2021-10-01,43801.54,48420.0,43283.41,48114.61,525.125568
2021-10-02,48114.61,48252.31,47394.19,47641.01,263.122172
2021-10-03,47641.01,49240.0,47099.99,48200.0,257.724141
2021-10-04,48200.0,49490.0,46930.65,49245.76,913.675792
2021-10-05,49245.76,51870.0,49043.88,51473.85,1028.261671
2021-10-06,51473.85,55750.0,50400.0,55300.01,1100.045644
2021-10-07,55300.01,55313.68,53422.04,53801.17,774.557183
2021-10-08,53801.17,56102.37,53660.0,53949.01,825.077233
2021-10-09,53949.01,55470.0,53680.01,54934.91,782.695321
2021-10-10,54934.91,56550.0,54024.15,54668.53,1019.131803
2021-10-11,54668.53,57800.0,54450.0,57506.97,737.101737
2021-10-12,57506.97,57631.0,53950.83,55999.63,851.978777
2021-10-13,55999.63,57733.52,54253.37,57364.71,908.039309
2021-10-14,57364.71,58500.0,56803.97,57343.15,691.736737
2021-10-15,57343.15,62790.0,56850.01,61585.55,1006.980643
2021-10-16,61585.55,62300.39,60135.0,60863.16,555.703159
2021-10-17,60863.16,61700.37,59000.0,61541.87,724.426375
2021-10-18,61541.87,62600.0,59830.3,62022.11,795.161235
2021-10-19,62022.11,64450.0,61244.06,64224.62,679.630752
2021-10-20,64224.62,66934.88,63502.65,65998.65,610.317625
2021-10-21,65998.65,66645.39,62077.0,62228.43,1019.22596
2021-10-22,62228.43,63702.34,60011.11,60719.0,924.757517
2021-10-23,60719.0,61704.21,59700.0,61314.15,553.820131
2021-10-24,61314.15,61490.02,59508.0,60873.54,575.617262
2021-10-25,60873.54,63709.8,60668.56,63078.41,527.905248
2021-10-26,63078.41,63300.0,59900.0,60292.0,541.859274
2021-10-27,60292.0,61434.44,58051.0,58485.76,896.591871
2021-10-28,58485.76,62500.0,57948.02,60566.68,684.597324
2021-10-29,60566.68,62935.25,60200.0,62250.71,380.384472
2021-10-30,62250.71,62340.07,60686.29,61793.47,215.66573
2021-10-31,61793.47,62352.92,60000.0,61241.16,261.088116
2021-11-01,61241.16,62378.38,59439.77,60839.3,281.500271
2021-11-02,60839.3,64270.92,60577.52,63182.5,416.920817
2021-11-03,63182.5,63483.12,60373.11,62899.86,413.924393
2021-11-04,62899.86,63088.61,60676.02,61382.1,291.231769
2021-11-05,61382.1,62566.94,60681.51,60947.75,336.575891
2021-11-06,60947.75,61550.78,60007.19,61428.16,348.747602
2021-11-07,61428.16,63254.16,61300.03,63239.98,274.893108
2021-11-08,63239.98,67728.2,63239.98,67465.37,629.783858
2021-11-09,67465.37,68469.98,66150.0,66893.63,643.383138
2021-11-10,66893.63,68967.21,62870.02,64892.02,906.447101
2021-11-11,64892.02,65549.99,64100.0,64719.44,501.693509
2021-11-12,64719.44,65367.6,62304.06,64114.27,633.572225
2021-11-13,64114.27,64916.63,63333.93,64365.7,308.202522
2021-11-14,64365.7,65498.64,63594.01,65475.82,415.204178
2021-11-15,65475.82,66293.41,63381.57,63569.18,569.737008
2021-11-16,63569.18,63569.18,58568.65,60104.47,1359.14985
2021-11-17,60104.47,60757.07,58352.31,60300.53,869.979815
2021-11-18,60300.53,60876.3,56505.0,56930.86,1102.925096
2021-11-19,56930.86,58345.34,55637.6,58081.7,835.92898
2021-11-20,58081.7,59844.27,57399.0,59696.54,485.840542
2021-11-21,59696.54,60000.0,58544.02,58658.24,537.007897
2021-11-22,58658.24,59398.99,55625.01,56274.98,822.965638
2021-11-23,56274.98,57980.0,55378.73,57571.52,729.474983
2021-11-24,57571.52,57742.92,55904.28,57165.63,504.890531
2021-11-25,57165.63,59378.73,57000.0,58874.68,562.190894
2021-11-26,58874.68,59124.89,53500.0,53730.45,1353.858025
2021-11-27,53730.45,55279.63,53636.89,54748.69,480.90183
2021-11-28,54748.69,57419.85,53272.61,57276.97,719.464883
2021-11-29,57276.97,58818.26,56681.05,57749.68,697.040074
2021-11-30,57749.68,59160.16,55898.52,56891.82,993.599752
2021-12-01,56891.82,58937.15,56435.68,57171.49,1024.10945
2021-12-02,57171.49,57338.94,55755.58,56452.9,806.223388
2021-12-03,56452.9,57550.0,51662.51,53650.0,1416.324819
2021-12-04,53650.0,53850.19,42356.01,49202.39,2571.266073
2021-12-05,49202.39,49719.62,47750.0,49371.16,1229.22718
2021-12-06,49371.16,50848.55,47070.0,50446.86,1412.518501
2021-12-07,50446.86,51899.24,50017.12,50573.81,1123.498982
2021-12-08,50573.81,51195.24,48600.0,50438.98,881.633075
2021-12-09,50438.98,50765.97,47340.74,47578.87,975.901343
2021-12-10,47578.87,50069.0,46904.44,47185.58,1261.645624
2021-12-11,47185.58,49486.18,46780.0,49363.33,638.07832
2021-12-12,49363.33,50778.0,48664.25,50068.01,633.368056
2021-12-13,50068.01,50175.57,45782.44,46692.89,1400.571395
2021-12-14,46692.89,48646.96,46294.56,48361.9,1008.947665
2021-12-15,48361.9,49473.92,46553.63,48864.41,1412.838744
2021-12-16,48864.41,49432.45,47536.12,47635.25,678.538399
2021-12-17,47635.25,48003.49,45486.65,46176.1,885.152664
